EmpID, ProjectID, DateFrom, DateTo
4, 1, 2016-09-08, 11-11-2018
9, 2, 2015-11-12, 07/9/2017
3, 2, 5/4/2016, 4/4/2018
6, 2, 06.09.2017, 2016.9.9
10, 1, 2015/12/12, NULL
6, 3, 10-10-2017, 2019-01-28
1, 1, 2011.01.21, 05.06.2015
2, 3, 2016.05.05, 2016-10-15
1, 3, 9/9/2016, NULL
10, 2, 2016-15-11, 2016-10-15
8, 1, 2018-04-04, 04.08.2017
9, 1, 11-11-2019, 2016-10-15
1, 2, 1.1.2017, NULL
2, 1, 2015-04-04, 5-5-2017
6, 1, 2014-9-7, 07/5/2016
6, 2, 1/2/2015, 8/4/2018
6, 3, 06.09.2017, NULL
4, 2, 2015/12/12, NULL
5, 1, 7-7-2016, 2018-01-28
8, 2, 2012.04.11, 05.09.2015
5, 2, 2017.01.04, 2016-10-15
3, 1, 9/9/2016, NULL
9, 1, 2015-18-07, 2016-10-15
5, 2, 2016-04-04, 04.08.2017
10, 3, 02-11-2016, 2017-10-15
7, 1, 2.4.2017, NULL
7, 2, 2015-04-04, 5-5-2018
5, 1, 2014-9-7, 07/5/2016
